action,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5
fel,-381.349396,-269.253387,-116.813377,-45.249886,-256.332245,-89.417160,150.056244,-87.576866,42.188335,242.867905,18.962461,76.399940,428.462341,293.971802,641.771301
fel,-376.021545,-272.967926,-133.821198,-61.291061,-241.356766,-93.077553,143.094406,-77.135376,34.819637,215.708588,6.728501,58.470631,418.830933,280.534210,641.699524
fel,-371.472626,-270.972260,-142.165512,-33.497070,-232.640335,-80.189026,160.922134,-66.725060,54.446323,238.968887,23.842035,79.471870,418.830933,280.534210,641.699524
fel,-391.170746,-288.454712,-141.190826,-53.679672,-241.145935,-96.715271,129.194000,-86.305061,32.738186,215.872284,5.572473,62.609039,418.830933,280.534210,641.699524
fel,-397.024536,-299.664978,-151.170349,-70.518257,-250.302734,-106.209557,120.442680,-91.443016,24.323040,206.199936,-0.270382,53.590782,418.830933,280.534210,641.699524
fel,-402.619324,-310.924957,-160.060577,-95.907104,-260.925934,-125.503090,94.962051,-107.169472,8.687976,187.205673,-13.422401,40.490658,418.830933,280.534210,641.699524
fel,-396.815582,-307.612213,-165.334641,-49.509300,-234.772522,-90.704681,127.729492,-92.300835,30.771589,227.205231,14.607721,70.046143,418.830933,280.534210,641.699524
fel,-397.566193,-295.194550,-140.169006,-83.878326,-248.446228,-116.194031,104.717148,-94.015938,16.772200,195.360474,-4.833897,47.801136,418.830933,280.534210,641.699524
fel,-399.101318,-298.754547,-144.493881,-87.918877,-249.264771,-115.683456,82.173401,-110.198380,4.840273,177.587341,-16.005512,37.262680,418.830933,280.534210,641.699524
fel,-399.721954,-297.144623,-144.477615,-94.899422,-249.127594,-119.680367,90.307693,-103.746193,10.361891,180.376755,-12.554762,40.862190,418.830933,280.534210,641.699524
fel,-395.952148,-297.023560,-146.067749,-78.101021,-236.151321,-106.929611,80.401718,-112.058167,3.711437,174.713516,-17.324944,33.566151,418.830933,280.534210,641.699524
fel,-383.715027,-285.486206,-147.043274,-59.337616,-241.849670,-90.170319,101.545082,-103.462227,23.040371,214.687134,6.671174,66.217720,418.830933,280.534210,641.699524
fel,-382.574371,-289.407867,-154.030991,-67.329002,-243.082047,-98.778656,110.788322,-93.083611,25.563776,215.963242,12.254032,66.046242,418.830933,280.534210,641.699524
fel,-392.966644,-293.456055,-140.582321,-86.856766,-253.171982,-109.786636,104.479370,-98.561722,20.559486,193.295013,-10.232209,45.557766,418.830933,280.534210,641.699524
fel,-409.922607,-314.201080,-143.775528,-118.588478,-257.442841,-130.561752,46.428600,-128.958237,-16.132189,153.451157,-32.136024,19.176573,418.830933,280.534210,641.699524
fel,-396.805481,-304.857330,-150.119492,-92.831039,-239.286224,-106.077644,66.144066,-124.371750,1.849221,168.973984,-30.042299,33.828644,418.830933,280.534210,641.699524
fel,-386.683533,-298.856934,-155.092026,-94.740852,-242.712646,-109.819481,91.127159,-104.913788,12.824813,192.940079,-11.144650,48.404476,418.830933,280.534210,641.699524
fel,-388.188507,-301.862823,-160.746124,-85.226219,-239.407883,-111.793221,90.154541,-107.173759,4.865677,194.051392,-10.739505,43.324112,418.830933,280.534210,641.699524
fel,-405.244720,-320.065460,-161.335403,-130.055466,-274.655151,-138.717758,43.227444,-137.586609,-20.397974,158.241867,-32.616627,22.568933,418.830933,280.534210,641.699524
fel,-406.325867,-327.913513,-169.621292,-105.695808,-266.762054,-112.666458,68.620850,-135.545349,3.377147,180.597488,-28.868486,43.224567,418.830933,280.534210,641.699524
fel,-395.716125,-318.001740,-162.337570,-60.047848,-250.789490,-80.757210,79.980431,-146.849930,4.853198,184.234451,-43.776703,35.648144,418.830933,280.534210,641.699524
fel,-397.876465,-309.219879,-160.361542,-70.938301,-248.506714,-100.791382,87.373840,-128.105148,9.264050,193.595688,-20.496784,46.934074,418.830933,280.534210,641.699524
fel,-398.750977,-314.142456,-164.744278,-64.191414,-252.669281,-82.820717,79.095245,-140.253586,15.669037,193.554611,-29.982494,57.119362,418.830933,280.534210,641.699524
fel,-385.025726,-291.717316,-150.138931,-70.330429,-247.832809,-93.807915,82.559166,-122.466774,15.145273,192.726807,-13.095680,54.605358,418.830933,280.534210,641.699524
fel,-395.781219,-304.883942,-153.463409,-88.159935,-250.745590,-108.615707,59.390827,-137.822144,-10.714227,172.333481,-31.877777,30.246462,418.830933,280.534210,641.699524
fel,-394.934113,-307.390869,-162.442322,-79.290237,-244.205612,-104.435547,96.512405,-108.826836,18.199539,203.017944,-6.189117,56.913612,418.830933,280.534210,641.699524
